업종,브랜드,가맹사업 개월수,가맹점수,가맹점 평균매출액,창업비용,개점률,폐점률
한식,국사랑,95,29,269167 ,"52600",17,51
한식,삼육가珍,66,5,1540660 ,"100448",0,40
한식,전준수명품청기와감자탕,56,18,619235 ,"115000",11,0
한식,남도복국,44,13,599429 ,"104220",69,0
한식,두찜,56,263,240278 ,"47000",62,11
한식,쪽찌,56,30,300907 ,"86700",53,10
한식,지호한방삼계탕,228,68,413563 ,"112200",8,2
한식,발빠닭,82,20,277692 ,"43250",40,25
한식,돼지만,30,7,766992 ,"168000",100,14
한식,갈비만,37,7,1338760 ,"283500",42,0
한식,김용덕의 소문난 부자국밥,150,40,183353 ,"77900",50,0
한식,조춘식동태탕찜,192,8,135921 ,"89350",25,0
한식,배달삼겹 돼지되지,56,116,251514 ,"24500",24,34
한식,한마음정육식당,56,39,512633 ,"125730",30,10
한식,석쇠꾼,28,16,262445 ,"117400",100,31
한식,김형제고기의철학,29,27,948717 ,"111700",55,0
한식,불막열삼,77,79,208789 ,"74150",17,8
한식,팔백집,50,9,408305 ,"95500",33,33
한식,한솥,332,727,352657 ,"96910",4,3
한식,토정삼계탕,59,11,393427 ,"94050",9,18
한식,미식가의구이,36,39,313158 ,"111900",46,0
한식,삼훈국민생아구찜,66,11,369041 ,"144650",18,0
한식,괸당집,23,6,357400 ,"61360",100,0
한식,큰정할매순대국,67,10,294314 ,"94860",0,30
한식,철뚝집,33,15,447252 ,"83300",60,0
한식,명륜진사갈비,44,454,992450 ,"170940",72,0
한식,일품투가리감자탕,26,6,762321 ,"137550",100,0
한식,육분삼십,33,10,565513 ,"94100",70,10
한식,뚱뚱이할머니족발보쌈,196,6,20813 ,"20680",16,0
한식,화평동왕냉면,204,22,287145 ,"30729",0,4
한식,흑도리,37,7,366514 ,"122700",28,0
한식,박가부대,152,127,247592 ,"107993",7,12
한식,장충동왕족발보쌈,242,96,48097 ,"49700",4,22
한식,통달배,36,28,150511 ,"29128",100,35
한식,인생극장,88,108,121679 ,"16400",24,27
한식,삶다 오로지 족발,38,9,671979 ,"63600",33,0
한식,가장맛있는족발,98,406,551310 ,"103200",8,3
